smiles,Active/Inactive
CN(C)c1cccc2c([S+](=O)([O-])Nc3ccc(NC(=O)C(C)(C)CO)cc3)cccc12,0.0
CC(=O)O[C@@H]1C[C@]2(C)[C@@]3(CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O[C@@H]7OC[C@](O)(CO)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)C(C)(C)C5CC[C@]42C)O[C@@H](O)[C@]12C3CC(C)(C)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)[C@@H]2OC(=O)/C=C/c1ccccc1,0.0
CC(C)(C)CC(C)(C)c1ccc(O)cc1,0.0
CC1=C2C[C@H]3O[C@@]3(C)CCC3O[C@@]3(C)C[C@@]2(O)OC1=O,0.0
Cn1cc(OCC(O)CNC(C)(C)C)c2ccccc2c1=O,0.0
C=CC(=O)N(C)CC1CCn2ccnc2C1,0.0
CC(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(N)=O)C(C)C,0.0
OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0.0
C=CC(=O)NCC1CCCS1,0.0
CC(=O)Nc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,1.0
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,1.0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc([S+](=O)([O-])N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,0.0
C=CC(=O)NC(c1cnn(C)c1)C(F)(F)F,0.0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,0.0
CC(=O)O[C@H]1C[C@H]2[C@]3(C)C[C@H](O)[C@H](C4(C)CCC(C(C)(C)O)O4)[C@@]3(C)CC[C@]23C[C@@]32CC[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@H]12,0.0
O=C1CC2(CCOc3ccc(Cl)cc32)CN1c1cncc2ccccc12,1.0
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,0.0
O=C(O)Cc1ccc2oc(-c3ccc(NC(=O)/C=C/c4ccc(Br)cc4)c(F)c3)nc2c1,0.0
O=C(Nc1cncc2ccccc12)C1CCN(Cc2ncc[nH]2)c2ccc(Cl)cc21,1.0
O=C1NCC(C(=O)Nc2cnn3ccccc23)c2cc(Cl)ccc21,1.0
FC(F)(F)c1ccc(Nc2nc(-c3c(C(F)(F)F)nc4ccccn34)cs2)cc1,0.0
N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccccc3)c2ncn1C1CCC(O)CC1,0.0
CNc1nc(NCc2ccc(N[S+](C)(=O)[O-])cc2Cl)cc(-c2ccccn2)n1,0.0
CCC1(C)NC(=O)N(NC(=O)CCl)C1=O,0.0
N#Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,0.0
